"code", "display", "parent"
"https://www.gov.uk/api/content/education/set-up-a-free-school", "Set up a free school", "https://www.gov.uk/api/content/education/setting-up-or-changing-the-status-of-a-school"
"https://www.gov.uk/api/content/education/set-up-or-convert-to-an-academy", "Set up or convert to an academy", "https://www.gov.uk/api/content/education/setting-up-or-changing-the-status-of-a-school"
"https://www.gov.uk/api/content/education/set-up-independent-school", "Set up an independent school", "https://www.gov.uk/api/content/education/setting-up-or-changing-the-status-of-a-school"
"https://www.gov.uk/api/content/education/school-food-accommodation-transport-and-uniform", "School food, accommodation, transport and uniform", "https://www.gov.uk/api/content/education/running-and-managing-a-school"
"https://www.gov.uk/api/content/education/school-planning", "School planning", "https://www.gov.uk/api/content/education/running-and-managing-a-school"
"https://www.gov.uk/api/content/education/school-governance", "School governance", "https://www.gov.uk/api/content/education/running-and-managing-a-school"
"https://www.gov.uk/api/content/education/school-buildings-and-land", "School buildings and land", "https://www.gov.uk/api/content/education/running-and-managing-a-school"
"https://www.gov.uk/api/content/education/school-buildings-and-land-guidelines", "School buildings and land guidelines", "https://www.gov.uk/api/content/education/school-buildings-and-land"
"https://www.gov.uk/api/content/education/school-buildings-and-land-transactions", "School buildings and land transactions", "https://www.gov.uk/api/content/education/school-buildings-and-land"
"https://www.gov.uk/api/content/education/school-places", "School places", "https://www.gov.uk/api/content/education/school-buildings-and-land"
"https://www.gov.uk/api/content/education/data-collection-and-censuses-for-schools", "Data collection and censuses for schools", "https://www.gov.uk/api/content/education/running-and-managing-a-school"
"https://www.gov.uk/api/content/education/general-hospital-school-censuses", "General hospital school censuses", "https://www.gov.uk/api/content/education/data-collection-and-censuses-for-schools"
"https://www.gov.uk/api/content/education/school-exclusion-reviews", "School exclusion reviews", "https://www.gov.uk/api/content/education/data-collection-and-censuses-for-schools"
"https://www.gov.uk/api/content/education/special-educational-needs-surveys", "Special educational needs surveys", "https://www.gov.uk/api/content/education/data-collection-and-censuses-for-schools"
"https://www.gov.uk/api/content/education/alternative-provision-censuses", "Alternative provision censuses", "https://www.gov.uk/api/content/education/data-collection-and-censuses-for-schools"
"https://www.gov.uk/api/content/education/parental-responsibility-measures-attendance-censuses", "Parental responsibility measures attendance censuses", "https://www.gov.uk/api/content/education/data-collection-and-censuses-for-schools"
"https://www.gov.uk/api/content/education/school-capacity-surveys", "School capacity surveys", "https://www.gov.uk/api/content/education/data-collection-and-censuses-for-schools"
"https://www.gov.uk/api/content/education/key-stage-1-and-2-assessments-data-collection", "Key stage 1 and 2 assessments data collection", "https://www.gov.uk/api/content/education/data-collection-and-censuses-for-schools"
"https://www.gov.uk/api/content/education/phonics-screening-checks", "Phonics screening checks", "https://www.gov.uk/api/content/education/data-collection-and-censuses-for-schools"
"https://www.gov.uk/api/content/education/school-preference-admission-appeals-data-collection", "School preference and admission appeals data collection", "https://www.gov.uk/api/content/education/data-collection-and-censuses-for-schools"
"https://www.gov.uk/api/content/education/school-censuses-and-slasc", "School censuses and school-level annual school censuses (SLASC)", "https://www.gov.uk/api/content/education/data-collection-and-censuses-for-schools"
"https://www.gov.uk/api/content/education/school-workforce-censuses", "School workforce censuses", "https://www.gov.uk/api/content/education/data-collection-and-censuses-for-schools"
"https://www.gov.uk/api/content/education/school-and-academy-financial-management-and-assurance", "School and academy financial management and assurance", "https://www.gov.uk/api/content/education"
"https://www.gov.uk/api/content/education/local-authority-schools-financial-reporting-and-assurance", "Local authority schools financial reporting and assurance", "https://www.gov.uk/api/content/education/school-and-academy-financial-management-and-assurance"
"https://www.gov.uk/api/content/education/academy-and-academy-trust-finance-and-reporting", "Academy and academy trust finance and reporting", "https://www.gov.uk/api/content/education/school-and-academy-financial-management-and-assurance"
"https://www.gov.uk/api/content/education/school-procurement", "School procurement", "https://www.gov.uk/api/content/education/school-and-academy-financial-management-and-assurance"
"https://www.gov.uk/api/content/education/financial-management-reporting-and-assurances-for-16-to-19-year-olds-funding", "Financial management, reporting and assurances for 16 to 19 year olds funding", "https://www.gov.uk/api/content/education/school-and-academy-financial-management-and-assurance"
"https://www.gov.uk/api/content/education/funding-and-finance-for-students", "Funding and finance for students", "https://www.gov.uk/api/content/education"
"https://www.gov.uk/api/content/education/financial-help-for-students-who-are-parents-or-carers", "Financial help for students who are parents or carers", "https://www.gov.uk/api/content/education/funding-and-finance-for-students"
